injury_status,practice_description,team,last_name,birth_country,search_full_name,sport,gsis_id,high_school,depth_chart_position,college,first_name,active,birth_state,news_updated,full_name,rotoworld_id,age,weight,swish_id,depth_chart_order,status,competitions,team_abbr,injury_body_part,hashtag,search_last_name,height,number,player_id,search_first_name,birth_city,opta_id,injury_start_date,pandascore_id,sportradar_id,birth_date,fantasy_data_id,yahoo_id,team_changed_at,espn_id,years_exp,fantasy_positions,rotowire_id,search_rank,position,practice_participation,stats_id,metadata,oddsjam_id,injury_notes
,,,White,,javinwhite,nfl,,McClymonds (CA),,UNLV,Javin,True,,1721609703351.0,Javin White,,27.0,211,881687.0,,Active,[],,,#javinwhite-NFL-FA-60,white,74,60.0,7311,javin,,,,,3f95afdc-2140-424b-8250-7d4e273c2efc,1997-02-21,22303.0,33318.0,,3921709.0,4.0,"['DB', 'LB']",14902.0,9999999.0,LB,,,"{'channel_id': '1116853366710861824', 'rookie_year': '2020'}",8ADDCA292DD5,
,,ARI,Breeland,,bashaudbreeland,nfl, 00-0031052,Allendale-Fairfax (SC),,Clemson,Bashaud,True,,1641345029845.0,Bashaud Breeland,9585.0,30.0,197,560235.0,,Active,[],,,#bashaudbreeland-NFL-ARI-24,breeland,71,24.0,2091,bashaud,,,,,ba905b34-8412-4553-9055-3460368cc608,1992-01-30,16407.0,27630.0,,16890.0,8.0,['DB'],9648.0,9999999.0,CB,,560235.0,{'channel_id': '1116852779298586624'},,
,,DAL,Aubrey,,brandonaubrey,nfl,,Plano Senior (TX),K,Notre Dame,Brandon,True,,1724082346135.0,Brandon Aubrey,,29.0,218,1454349.0,1.0,Active,[],,,#brandonaubrey-NFL-DAL-17,aubrey,75,17.0,11533,brandon,,,,,110e6fe0-1c34-11ee-8294-af17faac15de,1995-03-14,,,,,1.0,['K'],17649.0,139.0,K,,,"{'channel_id': '1113708850915078145', 'rookie_year': '2023'}",872D94B3727D,
,,,Herrera,,amarloherrera,nfl,,North Clayton,,Georgia,Amarlo,False,,,Amarlo Herrera,,28.0,249,,,Inactive,[],,,#amarloherrera-NFL-FA-56,herrera,"6'1""",56.0,2508,amarlo,,,,,faf5f854-73af-4ab9-8f19-95ea75431d45,1991-09-20,16967.0,28595.0,,2578542.0,5.0,['LB'],10372.0,9999999.0,LB,,,,,
,,,Edebali,,kasimedebali,nfl,00-0031255,Kimball Union (NH),,Boston College,Kasim,True,,1572497732686.0,Kasim Edebali,,32.0,253,,,Inactive,[],,,#kasimedebali-NFL-FA-95,edebali,74,95.0,2199,kasim,,,,,25a958c9-4035-43ad-8c9c-1309ea592e66,1989-08-17,16570.0,27923.0,,17141.0,8.0,"['DL', 'LB']",9378.0,9999999.0,DE,,498200.0,{'channel_id': '1116852786479235072'},,
,,,Slavin,,tylerslavin,nfl,,,,New Mexico Highlands,Tyler,False,,,Tyler Slavin,,26.0,215,,,Inactive,[],,,#tylerslavin-NFL-FA-13,slavin,"6'2""",13.0,2881,tyler,,,,,f02407dd-c6d9-4c88-885b-0fcf87fcbb33,1992-01-29,17349.0,29002.0,,2516911.0,1.0,['WR'],10861.0,9999999.0,WR,,542556.0,,,
,,DAL,Lawrence,,demarcuslawrence,nfl,00-0031411,Silver Bluff (SC),LDE,Boise State,DeMarcus,True,,1725031210100.0,DeMarcus Lawrence,9633.0,32.0,265,651780.0,1.0,Active,[],,,#demarcuslawrence-NFL-DAL-90,lawrence,75,90.0,2064,demarcus,,,,,3e3bd10a-6462-47f8-8938-42518781d060,1992-04-28,16366.0,27562.0,,16802.0,10.0,['DL'],9344.0,547.0,DE,,,"{'channel_id': '1113708852156592128', 'rookie_year': '2014'}",4306CF8AB318,
,,,Dunbar,,lancedunbar,nfl,,Haltom (TX),,North Texas,Lance,False,,1520632201229.0,Lance Dunbar,7798.0,30.0,187,,,Inactive,[],,,#lancedunbar-NFL-FA-25,dunbar,"5'8""",25.0,1284,lance,,,,,9f0f0495-b5b8-45c2-866b-02d9f96087f7,1990-01-25,14731.0,26064.0,,15369.0,8.0,['RB'],8086.0,9999999.0,RB,,468901.0,,,
Questionable,,,White,,deandrewwhite,nfl,00-0031511,North Shore (TX),,Alabama,DeAndrew,True,,1598920530064.0,DeAndrew White,,30.0,195,,,Inactive,[],,Undisclosed,#deandrewwhite-NFL-FA-18,white,72,18.0,2801,deandrew,,,,,e0abf267-f265-4682-9bb7-72bbcefda451,1991-10-16,17269.0,28800.0,,2515962.0,7.0,['WR'],10243.0,9999999.0,WR,,557177.0,{'channel_id': '1116852821904326656'},,
,,,Lawrence,,devaroelawrence,nfl,00-0033501,Carolina (SC),,Auburn,Devaroe,True,,1627877117922.0,Devaroe Lawrence,,29.0,294,835146.0,,Active,[],,,#devaroelawrence-NFL-FA-0,lawrence,74,0.0,4501,devaroe,,,,,87c4b182-e4bc-4f35-97ec-8537a2665875,1992-10-13,19373.0,30412.0,,3121581.0,5.0,['DL'],12173.0,1257.0,DT,,,{'channel_id': '1116852977559142400'},,
,,,Baker,,deandrebaker,nfl, 00-0035684,Miami Northwestern (FL),,Georgia,DeAndre,True,,1660181717555.0,DeAndre Baker,,24.0,186,880521.0,,Active,[],,,#deandrebaker-NFL-FA-30,baker,71,30.0,5852,deandre,,,,,02d1b3c3-f292-4174-89fa-9ecc6286adb0,1997-09-04,21020.0,31862.0,,3915163.0,3.0,['DB'],13475.0,9999999.0,CB,,,{'channel_id': '1116853171138854912'},,
,,,Thompson,,taylorthompson,nfl,,,,SMU,Taylor,False,,,Taylor Thompson,,27.0,268,,,Inactive,[],,,#taylorthompson-NFL-FA-84,thompson,"6'6""",84.0,1073,taylor,,,,,c2c65162-07df-48fb-93ce-86f340afb688,1989-10-19,13881.0,,,15067.0,3.0,['TE'],,9999999.0,TE,,460898.0,,,
,,,Seymour,,kevonseymour,nfl,00-0032942,Muir (CA),,USC,Kevon,True,,1707171360556.0,Kevon Seymour,,30.0,188,691066.0,,Inactive,[],,,#kevonseymour-NFL-FA-25,seymour,72,25.0,3374,kevon,,,,,e431a42b-5abe-49de-9c8c-f143f393591c,1993-11-30,18135.0,29452.0,,2971603.0,8.0,['DB'],11170.0,663.0,CB,,691066.0,"{'channel_id': '1116852856238899200', 'rookie_year': '2016'}",0B131E4B26AA,
,,,Straughter,,coreystraughter,nfl,,Neville (LA),,Louisiana-Monroe,Corey,True,,,Corey Straughter,,23.0,183,1067387.0,,Active,[],,,#coreystraughter-NFL-FA-0,straughter,70,0.0,8012,corey,,,,,a01a9064-c0c3-4f3e-8753-89f5859879f9,1998-10-16,,,,,1.0,['DB'],15702.0,,CB,,,{'channel_id': '1116853451070898176'},,
,,,Rose,,ajrose,nfl,,Garfield Heights (OH),,Kentucky,A.J.,True,,1661021115529.0,A.J. Rose,,24.0,212,920059.0,,Active,[],,,#ajrose-NFL-FA-24,rose,73,24.0,7918,aj,,,,,aa9c3e2b-711b-44ed-9cb3-0fbed3f2fead,1997-10-14,,,,,1.0,['RB'],15350.0,311.0,RB,,,{'channel_id': '1116853435631665152'},,
,,,Pears,,erikpears,nfl,,John F. Kennedy (CO),,Colorado State,Erik,False,,,Erik Pears,,38.0,316,,,Inactive,[],,,#erikpears-NFL-FA-71,pears,"6'8""",71.0,777,erik,,,,,dc310df5-3ada-4b4f-8f79-2db2cc603ff8,1982-06-25,12610.0,7588.0,,9399.0,15.0,['OL'],7124.0,9999999.0,T,,,,,
,,,Jeune,,rickyjeune,nfl,,Saint Joseph Regional (NJ),,Georgia Tech,Ricky,True,,1535476203701.0,Ricky Jeune,,28.0,212,,,Active,[],,,#rickyjeune-NFL-FA-2,jeune,75,2.0,5428,ricky,,,,,e5395ca3-47d0-403b-84f5-41bfeba78e67,1993-12-03,20526.0,31388.0,,3055908.0,4.0,['WR'],13096.0,9999999.0,WR,,748570.0,{'channel_id': '1116853100703907840'},,
,,,Colvin,,aaroncolvin,nfl,00-0031259,Owasso (OK),,Oklahoma,Aaron,True,,1599351058114.0,Aaron Colvin,9348.0,30.0,191,,,Active,[],,,#aaroncolvin-NFL-FA-34,colvin,72,34.0,1982,aaron,,,,,76c630cf-0fd3-4210-a73d-9347da9d9d66,1991-10-02,16249.0,27642.0,,16900.0,8.0,['DB'],9337.0,9999999.0,CB,,542873.0,{'channel_id': '1116852771618816000'},,
,,,Wilson,,marquiswilson,nfl,,Avon Old Farms (CT),,Purdue,Marquis,True,,,Marquis Wilson,,,185,,,Active,[],,,#marquiswilson-NFL-FA,wilson,71,,12376,marquis,,,,,07923890-0e3a-11ef-9a4a-c565d3259077,,,,,,0.0,['DB'],,9999999.0,DB,,,"{'channel_id': '1116852724273512448', 'rookie_year': '2024'}",,
,,,Uphoff,,christianuphoff,nfl,,Washington (IL),,Illinois State,Christian,True,,,Christian Uphoff,,23.0,195,943834.0,,Active,[],,,#christianuphoff-NFL-FA-0,uphoff,75,0.0,7882,christian,,,,,2b02fad4-574c-4a40-ab7d-43aca2142b66,1998-01-22,,,,,1.0,['DB'],15476.0,,DB,,,{'channel_id': '1116853428480376832'},,
,,LAR,Hummel,,jacobhummel,nfl,,Dowling Catholic (IA),RILB,Iowa State,Jacob,True,,1686861027216.0,Jacob Hummel,,25.0,229,1058624.0,2.0,Active,[],,,#jacobhummel-NFL-LAR-35,hummel,73,35.0,8733,jacob,,,,,0c7ceb00-d207-11ec-ab20-b37737d70cc4,1999-01-04,,,,,2.0,['LB'],16270.0,9999999.0,LB,,,"{'channel_id': '1113708701300060160', 'rookie_year': '2022'}",6592B272CCBB,
,,,Kapp,,jeromekapp,nfl,,Boyertown Area Senior (PA),,Kutztown,Jerome,True,,1693334405078.0,Jerome Kapp,,24.0,210,1448292.0,,Active,[],,,#jeromekapp-NFL-FA-31,kapp,75,31.0,11522,jerome,,,,,64c0ef00-fa65-11ed-b161-c5ef733b4e80,1999-04-07,,,,,1.0,['WR'],17644.0,622.0,WR,,,{'channel_id': '1116852698889584640'},,
,,,Boyle,,nickboyle,nfl,00-0031598,High Point Regional (NJ),,Delaware,Nick,True,,1673388617497.0,Nick Boyle,10547.0,29.0,261,608753.0,,Active,[],,,#nickboyle-NFL-FA-86,boyle,76,86.0,2474,nick,,,,,9480dd9f-151f-4e6d-b5a3-35f07bda4cac,1993-02-17,16931.0,28559.0,,2574591.0,8.0,['TE'],10252.0,9999999.0,TE,,608753.0,{'channel_id': '1116852808646131712'},,
,,,Clary,,tyclary,nfl,,Fayetteville (AR),,Arkansas,Ty,True,,,Ty Clary,,23.0,299,1060719.0,,Active,[],,,#tyclary-NFL-FA-61,clary,76,61.0,8852,ty,,,,,c22d7080-d3b2-11ec-96a0-c3471a31202c,1999-05-07,,,,,0.0,['OL'],,9999999.0,OL,,,{'channel_id': '1116853538769600512'},,
,,,Shampklin,,aaronshampklin,nfl,,Long Beach Polytechnic (CA),,Harvard,Aaron,True,,1724798454984.0,Aaron Shampklin,,24.0,195,1051044.0,,Active,[],,,#aaronshampklin-NFL-FA-33,shampklin,70,33.0,8809,aaron,,,,,c09be300-d30d-11ec-8b77-45b1765fd110,1999-10-18,,,,,2.0,['RB'],16367.0,445.0,RB,,,"{'channel_id': '1113708820732866560', 'rookie_year': '2022'}",8C27E3A10D7A,
,,JAX,Washington,,parkerwashington,nfl,,Travis (TX),SWR,Penn State,Parker,True,,1724468714147.0,Parker Washington,,22.0,204,1229074.0,4.0,Active,[],,,#parkerwashington-NFL-JAX-11,washington,70,11.0,9487,parker,,,,,c05863ec-3414-4ae6-a8d2-830aed99b6d3,2002-03-21,,,,,1.0,['WR'],16690.0,668.0,WR,,,"{'channel_id': '1113708892983947264', 'rookie_year': '2023'}",6C394246A6D8,
,,CIN,Stone,,genostone,nfl,,New Castle (PA),FS,Iowa,Geno,True,,1710197105397.0,Geno Stone,,25.0,210,1059222.0,1.0,Active,[],,,#genostone-NFL-CIN-22,stone,71,22.0,6923,geno,,,,,95f3b8ac-e10f-4f0d-8650-b464b37ded86,1999-04-19,21931.0,32889.0,,4240575.0,4.0,['DB'],14474.0,610.0,DB,,,"{'channel_id': '1113708806937800704', 'rookie_year': '2020'}",403AA74AF980,
,,,Manziel,,johnnymanziel,nfl,,Tivy (TX),,Texas A&M,Johnny,False,,1552834853016.0,Johnny Manziel,9271.0,27.0,210,,,Inactive,[],,,#johnnymanziel-NFL-FA-2,manziel,"6'0""",2.0,1907,johnny,,,,,7ebbfdef-1185-4896-a323-e6d5669a8345,1992-12-06,16135.0,27550.0,,16736.0,6.0,['QB'],9246.0,9999999.0,QB,,593578.0,,,
,,JAX,Gaziano,,joegaziano,nfl,,Xaverian Brothers (MA),,Northwestern,Joe,True,,1679941508787.0,Joe Gaziano,,27.0,280,880210.0,,Active,[],,,#joegaziano-NFL-JAX-97,gaziano,76,97.0,7325,joe,,,,,bab100c6-1a6c-4411-9286-f719244f5d35,1996-09-27,22317.0,32982.0,,3915990.0,4.0,['DL'],15065.0,9999999.0,DE,,,"{'channel_id': '1116853369403604992', 'rookie_year': '2020'}",4F578D605AAF,
,,,Williams,,jarridwilliams,nfl,,Cedar Hill (TX),,Miami (FL),Jarrid,True,,1691094646911.0,Jarrid Williams,,26.0,308,877900.0,,Active,[],,,#jarridwilliams-NFL-FA-76,williams,78,76.0,8716,jarrid,,,,,120caef0-ce1c-11ec-bebb-4fec1e38b0e5,1997-07-02,,,,,1.0,['OL'],16329.0,9999999.0,OL,,,{'channel_id': '1116853519173812224'},,
,,,Ruble,,brockruble,nfl, 00-0035477,DeMatha Catholic,,Toledo,Brock,True,,,Brock Ruble,,26.0,325,,,Active,[],,,#brockruble-NFL-FA-72,ruble,80,72.0,6648,brock,,,,,89fc014a-7d41-40c9-90d1-1459286813e2,1996-01-07,21539.0,32485.0,,3122934.0,3.0,['OL'],14291.0,9999999.0,OT,,,{'channel_id': '1116853286427688960'},,
Questionable,,,Grant,,jakeemgrant,nfl,00-0032791,Horn (TX),,Texas Tech,Jakeem,True,,1724370655755.0,Jakeem Grant,11475.0,31.0,172,605325.0,,Inactive,[],,Undisclosed,#jakeemgrant-NFL-FA-84,grant,67,84.0,3342,jakeem,,,,,5de11f0b-8da9-42ba-9a93-db7f0a58543b,1992-10-30,18103.0,29420.0,,2577641.0,8.0,['WR'],10990.0,662.0,WR,,605325.0,"{'channel_id': '1116852852942176256', 'rookie_year': '2016'}",2CDE42756969,
,,,Brown,,jaronbrown,nfl,00-0030300,Cheraw (SC),,Clemson,Jaron,True,,1602620149319.0,Jaron Brown,8869.0,32.0,205,,,Active,[],,,#jaronbrown-NFL-FA-18,brown,75,18.0,1684,jaron,,,,,51952c7b-11c5-4229-baf9-08d4694cc2ad,1990-01-08,15509.0,27074.0,,16172.0,9.0,['WR'],9046.0,763.0,WR,,463514.0,{'channel_id': '1116852755042926592'},,
,,HOU,Murray,,ericmurray,nfl,00-0033038,Riverside (WI),FS,Minnesota,Eric,True,,1710027059770.0,Eric Murray,,30.0,199,651636.0,2.0,Active,[],,,#ericmurray-NFL-HOU-23,murray,71,23.0,3268,eric,,,,,16e4ffec-959d-4210-8702-36c0bf20dda5,1994-01-07,18029.0,29340.0,,2970716.0,8.0,['DB'],11141.0,9999999.0,DB,,,"{'channel_id': '1113708783088988160', 'rookie_year': '2016'}",DFF0CE83247F,
Questionable,,BUF,Morrow,,nicholasmorrow,nfl,00-0033445,Huntsville (AL),ROLB,Greenville,Nicholas,True,,1724108440813.0,Nicholas Morrow,,29.0,216,1050219.0,2.0,Active,[],,Groin,#nicholasmorrow-NFL-BUF-52,morrow,72,52.0,4449,nicholas,,,,,7c1a8ecd-e3e5-4123-b89f-36e58b99126f,1995-07-10,19310.0,30633.0,,4232830.0,7.0,['LB'],12428.0,500.0,LB,,,"{'channel_id': '1113708756631318529', 'rookie_year': '2017'}",DB8EDD57A8EC,
,,,Pryor,,joshuapryor,nfl,,Paul Laurence Dunbar (MD),,Bowie State,Joshua,True,,1700343030178.0,Joshua Pryor,,24.0,280,1334826.0,,Active,[],,,#joshuapryor-NFL-FA-47,pryor,76,47.0,11072,joshua,,,,,fa4e3720-e760-11ed-a510-95de71e69612,1999-10-25,,,,,1.0,['DL'],17615.0,9999999.0,DL,,,"{'channel_id': '1116852648922841088', 'rookie_year': '2023'}",C7E7375D12FB,
Questionable,,,Ahmed,,salvonahmed,nfl,,Juanita (WA),,Washington,Salvon,True,,1724136922663.0,Salvon Ahmed,,25.0,197,1049246.0,,Active,[],,Undisclosed,#salvonahmed-NFL-FA-26,ahmed,71,26.0,6918,salvon,,,,,0dbbd211-0372-4751-9751-e4df4ab1f8eb,1998-12-30,21843.0,33265.0,,4243315.0,4.0,['RB'],14453.0,600.0,RB,,,"{'channel_id': '1113708735169064960', 'rookie_year': '2020'}",998715B4D91F,
,,,Sweeney,,tommysweeney,nfl, 00-0035308,Don Bosco Prep (NJ),,Boston College,Tommy,True,,1724524220461.0,Tommy Sweeney,,29.0,255,836094.0,,Active,[],,,#tommysweeney-NFL-FA-47,sweeney,77,47.0,6137,tommy,,,,,ec63ee49-3a03-44ca-a083-3916f0bccd76,1995-07-01,20957.0,32060.0,,3122818.0,5.0,['TE'],13667.0,565.0,TE,,836094.0,"{'channel_id': '1113708766848643072', 'rookie_year': '2019'}",BAB992EBEF7A,
,,,Cecil,,bradcecil,nfl,,Bartram Trail (FL),,South Florida,Brad,True,,,Brad Cecil,,23.0,300,1124148.0,,Active,[],,,#bradcecil-NFL-FA-64,cecil,76,64.0,11340,brad,,,,,c242e360-ec6c-11ed-9b1c-797c54fc9d07,1999-12-29,,,,,0.0,['OL'],,9999999.0,OL,,,{'channel_id': '1116852678471712768'},,
,,NYG,Stinnie,,aaronstinnie,nfl,00-0034668,St. Anne's-Belfield (VA),OL,James Madison,Aaron,True,,1710539421722.0,Aaron Stinnie,,30.0,312,750486.0,,Active,[],,,#aaronstinnie-NFL-NYG-64,stinnie,75,64.0,5668,aaron,,,,,5fd40b6b-d81a-4a4e-a394-53ed7e58511f,1994-02-18,20379.0,31619.0,,3049339.0,6.0,"['OG', 'OL']",13303.0,9999999.0,G,,,"{'channel_id': '1113708675920326656', 'rookie_year': '2018'}",15D6D87D37FB,
,,,Williams,,brycewilliams,nfl,00-0032583,North Davidson,,East Carolina,Bryce,True,,1523486701657.0,Bryce Williams,,28.0,258,,,Active,[],,,#brycewilliams-NFL-FA-80,williams,78,80.0,3561,bryce,,,,,a204547e-ecd3-4116-909a-ce823caa9067,1993-02-24,18334.0,29879.0,,2981998.0,6.0,['TE'],10946.0,9999999.0,TE,,609814.0,{'channel_id': '1116852875503337472'},,
,,,Whalen,,ryanwhalen,nfl,,,,Stanford,Ryan,False,,,Ryan Whalen,,29.0,202,,,Inactive,[],,,#ryanwhalen-NFL-FA-81,whalen,"6'1""",81.0,832,ryan,,,,,4a99b4bf-e03e-4253-8b9b-c070ef796daf,1989-07-26,12857.0,24954.0,,14131.0,3.0,['WR'],7411.0,9999999.0,WR,,,,,
,,,Player,,duplicateplayer,nfl,,,,,Duplicate,False,,,Duplicate Player,12292.0,,,,,Inactive,[],,,#duplicateplayer-NFL-FA-0,player,,0.0,6751,duplicate,,,,,,,21668.0,,,,0.0,,,9999999.0,,,820437.0,,,
,,NO,Murphy,,kylemurphy,nfl,00-0032433,San Clemente (CA),,Stanford,Kyle,True,,1640054416821.0,Kyle Murphy,,28.0,305,691007.0,,Active,[],,,#kylemurphy-NFL-NO-79,murphy,78,79.0,3356,kyle,,,,,cce52ea1-7e17-4992-8911-e6b07b7b3831,1993-12-11,18117.0,29434.0,,2978275.0,6.0,"['OL', 'OT']",11140.0,9999999.0,OT,,,{'channel_id': '1116852854489874432'},,
NA,,DAL,Lamb,,ceedeelamb,nfl,,Foster (TX),LWR,Oklahoma,CeeDee,True,,1725222931812.0,CeeDee Lamb,,25.0,200,1062020.0,7.0,Active,[],,Personal,#ceedeelamb-NFL-DAL-88,lamb,74,88.0,6786,ceedee,,,,,a72ea15b-5199-4101-a300-846e1c655add,1999-04-08,21679.0,32687.0,,4241389.0,4.0,['WR'],14411.0,3.0,WR,,,"{'channel_id': '1113708855537201152', 'rookie_year': '2020'}",85450367222D,
NA,,,Gallup,,michaelgallup,nfl,00-0034764,Monroe (GA),,Colorado State,Michael,True,,1722013243055.0,Michael Gallup,13149.0,28.0,205,912070.0,,Active,[],,Undisclosed,#michaelgallup-NFL-FA-10,gallup,73,10.0,5038,michael,,,,,9e174ff2-ca0e-4e6b-96f7-90f0088f7edd,1996-03-04,19867.0,31051.0,,4036348.0,6.0,['WR'],12810.0,299.0,WR,,912070.0,"{'channel_id': '1113708771563040768', 'rookie_year': '2018'}",1E240D9C1957,
,,CAR,Johnson,,djjohnson,nfl,,Luther Burbank (CA),ROLB,Oregon,DJ,True,,1722388534429.0,DJ Johnson,,25.0,260,1061549.0,1.0,Active,[],,,#djjohnson-NFL-CAR-52,johnson,76,52.0,10938,dj,,,,,11feb266-14e8-488c-9f7e-f221eaa92df8,1998-10-21,,,,,1.0,['LB'],16680.0,9999999.0,LB,,,"{'channel_id': '1113708881009209345', 'rookie_year': '2023'}",0C9B6F4EECDC,
,,,Coleman,,xaviercoleman,nfl,00-0033453,Jesuit (OR),,Portland State,Xavier,False,,1535771213570.0,Xavier Coleman,,26.0,190,,,Inactive,[],,,#xaviercoleman-NFL-FA-0,coleman,71,0.0,4433,xavier,,,,,695d16fa-1c4e-4ce4-9d2c-0e117b4fa577,1995-01-13,19294.0,30569.0,,3045642.0,5.0,['DB'],12233.0,9999999.0,CB,,,,,
,,TB,Irving,,buckyirving,nfl,,Hillcrest (IL),RB,Oregon,Bucky,True,,1724560527161.0,Bucky Irving,,22.0,195,1287923.0,2.0,Active,[],,,#buckyirving-NFL-TB-7,irving,70,7.0,11584,bucky,,,,,c5249c6f-bd1b-4352-8228-de2bd499ca0d,2002-08-19,,,,,0.0,['RB'],17784.0,199.0,RB,,,"{'channel_id': '1113708732941889536', 'rookie_year': '2024'}",A45A1C03F17B,
,,,Martin,,dougmartin,nfl,00-0029613,St. Mary's (CA),,Boise State,Doug,False,,1567555522755.0,Doug Martin,7426.0,32.0,210,,,Inactive,[],,,#dougmartin-NFL-FA-22,martin,69,22.0,1195,doug,,,,,5c2a0c83-e18a-43dd-bd65-704771157e42,1989-01-13,14385.0,25741.0,,14885.0,10.0,['RB'],8058.0,9999999.0,RB,,381806.0,,,
,,,Thomas,,deanthonythomas,nfl,00-0031060,Crenshaw (CA),,Oregon,De'Anthony,True,,1648441845359.0,De'Anthony Thomas,,29.0,176,,,Inactive,[],,,#deanthonythomas-NFL-FA-16,thomas,68,16.0,2023,deanthony,,,,,35823109-daf1-4825-92b8-564271398ecb,1993-01-05,16305.0,27652.0,,16945.0,8.0,['WR'],9274.0,803.0,WR,,607847.0,{'channel_id': '1116852775678902272'},,
